data,id_point,class,colour,cond_microscm,oxig_mgl,ph,temp_wa_c,temp_air_c,co_total_mgl,dbo _mgl,fósf_total_mgl,nitro_kje_mgl,nitro_amo_mgl,sdiss_total_mgl,solido_total_mgl,turb,clor_a_microgl,Caracteristicas,Complemento,Type
3/1/2013,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,214,1.46,7.87,24.95,19,6.05,11,0.161,3.33,1.78,116,118,10.8,59.88,Data,YYYY-MM-DD,data
3/14/2013,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,195,1.32,7.14,25.1,20.5,4.71,8,0.17,2.59,0.69,118,142,18.1,,Id,,id_point
5/15/2013,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,196,3.38,7.23,21.57,27,5.99,6,0.21,1.81,0.47,144,144,7.22,53.95,Coloracao,,colour
7/25/2013,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,200,2.48,7.08,17.7,11,7.73,8,0.23,1.23,0.29,116,120,5.1,49.45,Condutividade,μS/cm,cond_microscm
9/25/2013,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,225,0.35,7.1,19.93,16.1,7.72,9,0.41,3.6,2.51,170,174,10.6,,Oxigenio Dissolvido,mg/L,oxig_mgl
11/21/2013,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,219,6.77,7.6,24.8,26.7,33.8,37,0.8,7.72,1.49,156,206,6.5,673.6,pH,,ph
9/1/2014,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,203,14.61,9.93,28.35,26,27.9,17,0.44,2.96,<0.1,120,162,93.4,444.79,Temperatura da Agua,ºC,temp_wa_c
3/26/2014,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,211,3.73,7.42,24.47,23.5,8.64,9,0.22,2.42,1.14,114,132,14.5,,Temperatura do Ar,ºC,temp_air_c
5/15/2014,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,201,14.23,9.21,22.89,23.5,9.63,38,0.59,5.89,0.27,152,214,94,794.77,Carbono Organico Total,mg/L,co_total_mgl
7/31/2014,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,206,10.25,8.58,19.84,21.8,7.06,7,0.25,2.25,0.25,148,172,33.9,171.07,DBO (5 - 20),mg/L,dbo _mgl
9/25/2014,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,224,9.85,7.5,21.55,22.1,15.8,8,0.37,4.31,1.45,134,154,39,,Fosforo Total,mg/L,fósf_total_mgl
11/13/2014,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,254,5.4,7.38,24.47,27.5,7.33,8,0.37,4.95,2.63,106,148,22,127.41,Nitrogenio Kjeldahl,mg/L,nitro_kje_mgl
1/14/2015,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,239,4.56,8.06,27.78,25,7.03,25,1.2,3.47,1.55,136,232,16,946.24,Nitrogenio Amoniacal,mg/L,nitro_amo_mgl
