class,Year,Month,oxig_mgl,dbo_mgl,turb,clor_a_microgl
PIRE02900,2016,1,0.2,9,9.8,0.6
BILL02030,2013,9,0.4,9,10.6,
PIRE02900,2015,5,0.4,47,13.1,1.3
PIRE02900,2015,2,0.4,22,10.4,1.3
PIRE02900,2019,10,0.6,13,9.9,0.6
PIRE02900,2019,3,0.6,6,12.9,
PIRE02900,2017,12,0.8,16,20.1,31.4
PIRE02900,2016,6,1,15,14.3,2.7
PIRE02900,2019,5,1.2,9,25.7,0.9
PIRE02900,2019,12,1.3,16,13.3,
BILL02030,2015,4,1.3,18,12.8,57
PIRE02900,2018,9,1.4,16,9.4,
BILL02030,2013,3,1.4,9.5,14.5,59.9
PIRE02900,2015,1,1.5,19,29.9,25.8
PIRE02900,2019,1,1.5,10,19.3,19.9
PIRE02900,2016,5,1.7,14,10.4,2.2
PIRE02900,2017,4,1.7,18,12.4,1.3
PIRE02900,2018,11,1.7,6.5,10.5,1.1
RGDE02900,2019,5,1.9,4,5.7,8.9
BILL02100,2019,5,2,3,6.6,41.8
PIRE02900,2019,11,2.2,7.9,8.7,4.7
PIRE02900,2016,10,2.2,11,13.6,
BILL02030,2016,1,2.3,10,17.9,55.6
PIRE02900,2018,5,2.3,13,7.7,13
GADE02900,2019,1,2.3,3,33.1,0.6
GADE02900,2018,9,2.4,3,41.1,2.7
GADE02900,2019,3,2.5,3,11.8,0.8
BILL02030,2013,7,2.5,8,5.1,49.5
BILL02100,2015,4,2.6,5,6.2,35.8
BILL02030,2019,5,2.8,3,8.2,49.8
RGDE02030,2018,3,2.9,3,9.4,19.4
PIRE02900,2018,7,3,14,10,18.7
PIRE02900,2015,12,3.1,7.5,39.2,7.1
PIRE02900,2017,11,3.1,8,8.3,1.3
PIRE02900,2017,5,3.2,14,11.7,0.6
GADE02900,2017,12,3.2,3,14.6,1.1
BILL02030,2015,9,3.2,11.5,20.3,90.6
BILL02500,2016,1,3.4,4,13,56.1
BILL02030,2013,5,3.4,6,7.2,54
BILL02100,2016,1,3.5,7,20.3,84.2
RGDE02030,2015,5,3.5,3,15.6,1.3
GADE02900,2019,12,3.5,3,5.5,1.8
BILL02100,2015,2,3.6,4.5,5.2,22.9
RGDE02030,2019,7,3.6,3,2.9,3.1
RGDE02030,2016,3,3.7,3,6.9,6.2
BILL02030,2015,10,3.7,7,18,50.8
PIRE02900,2016,11,3.7,4,21.3,1.6
BILL02030,2014,3,3.7,9,14.5,
RGDE02030,2015,11,3.8,3,7.5,8
BILL02030,2016,5,3.8,10,9,27.9
BILL02030,2018,3,3.8,8,34,
BILL02030,2016,2,3.9,6,37.5,80.9
BILL02900,2017,3,3.9,4,4.9,11.3
BILL02100,2013,3,3.9,9,16,101
GADE02900,2019,5,3.9,3,7.3,0.6
RGDE02030,2015,9,3.9,3,6.3,10.2
GADE02900,2017,1,4,3,5.8,0.6
BILL02100,2016,5,4,11,8.9,30.7
RGDE02030,2017,1,4,3,12.1,8.6
GADE02900,2015,4,4,3,5.8,0.6
GADE02900,2017,8,4,3,35.6,3.1
RGDE02030,2019,3,4,3,4.5,3.7
GADE02900,2015,1,4,4,11.7,1.9
BILL02030,2015,2,4.1,6,3.5,16.6
GADE02900,2017,9,4.2,3,21.7,2.3
RGDE02900,2016,5,4.2,3,2,3.1
GADE02900,2015,5,4.2,3,5.1,0.6
GADE02900,2015,6,4.2,3,8.7,0.8
BILL02100,2017,3,4.3,8,19.9,48.1
GADE02900,2019,10,4.4,3,5.8,0.7
GADE02900,2017,11,4.4,3,9.9,0.6
RGDE02030,2016,10,4.4,3,9.2,7.6
BILL02030,2015,7,4.5,3,7.5,30.9
GADE02900,2018,11,4.5,5,19.7,0.9
GADE02900,2015,11,4.5,6,12.2,1.3
BILL02100,2013,7,4.5,7,4,37.4
GADE02900,2019,11,4.5,3,13.6,0.6
GADE02900,2017,4,4.6,3,5,0.6
BILL02030,2015,1,4.6,25,16,946.2
BILL02030,2016,10,4.6,8.5,18.3,74.1
BILL02100,2019,3,4.6,3,5.2,
GADE02900,2015,12,4.7,3,10.4,0.9
BILL02100,2016,10,4.7,11,28.3,77.4
GADE02900,2018,5,4.8,3,5.8,2.1
RGDE02030,2018,11,4.8,3,8.4,7
RGDE02030,2015,6,4.9,3,24.6,16
GADE02900,2018,7,4.9,3,9.7,1.4
RGDE02030,2016,11,5,6,8.1,32.2
RGDE02030,2017,10,5,3,30.9,4.9
GADE02900,2015,2,5,6,71.9,10.7
BILL02100,2014,3,5,9,12.3,
BILL02100,2013,9,5.1,5,6.9,
RGDE02030,2017,6,5.1,3,4.1,19.3
PIRE02900,2017,8,5.1,5,18.6,
BILL02030,2016,6,5.2,8.5,6.2,63.9
BILL02030,2017,10,5.2,9,37.2,144.1
GADE02900,2015,10,5.2,6,16.3,1.8
RGDE02900,2018,5,5.2,3,1.9,12.2
BILL02500,2016,5,5.2,4,11.9,32.7
BILL02900,2013,3,5.2,3,8.7,50.3
RGDE02030,2017,11,5.2,3,5.6,6.6
GADE02900,2016,8,5.3,3,5.1,1.3
GADE02900,2017,5,5.3,4,6.4,0.9
BILL02500,2014,11,5.3,4,7.3,13.2
BILL02500,2016,6,5.3,3,13.2,31
BILL02030,2015,5,5.4,5,8.4,52.3
BILL02030,2014,11,5.4,8,22,127.4
BILL02100,2017,5,5.4,4,10.1,45.2
BILL02030,2016,4,5.5,11,70.1,118.5
PIRE02900,2016,9,5.5,8,5.3,
BILL02030,2017,3,5.6,11,25.5,72.2
RGDE02030,2017,5,5.6,3,3.9,15.2
GADE02900,2015,9,5.7,3,86.4,2.7
RGDE02030,2017,9,5.7,3,5.6,22
RGDE02030,2017,7,5.7,3,3.5,18.3
BILL02030,2017,2,5.7,15,59.1,265.5
RGDE02030,2019,9,5.7,4,4.2,24.1
RGDE02030,2019,5,5.7,3,3.3,11
BILL02030,2016,11,5.8,8,93.1,264.6
BILL02100,2015,10,5.9,6,16.6,68.2
BILL02500,2017,3,6,4,15.7,37.8
RGDE02030,2019,6,6,3,7.2,25.1
BILL02100,2015,9,6,6,12.3,79.4
BILL02100,2013,5,6,8,9.1,94.7
BILL02030,2017,5,6,9,8.4,77.5
RGDE02900,2017,6,6,3,1.9,7.4
BILL02100,2015,5,6.1,5,6,32.3
RGDE02200,2017,6,6.1,3,5,25
BILL02030,2018,7,6.1,4,10,53.5
GADE02900,2017,10,6.1,3,11,1.1
BILL02030,2019,4,6.2,6.5,36,168.9
BILL02030,2017,9,6.3,7,29.4,105.1
BILL02900,2014,3,6.4,3,8.8,
RGDE02030,2016,8,6.4,3,7.8,9.1
RGDE02900,2015,6,6.5,3,2.1,10.7
RGDE02030,2018,9,6.5,4,5.7,27.3
RGDE02030,2016,5,6.5,3,7.4,29.9
RGDE02900,2015,1,6.5,3,3.7,21.4
RGDE02030,2017,3,6.6,3,2.8,18.3
BILL02100,2018,5,6.6,5,7.1,69.5
BITQ00100,2017,12,6.6,7,22.1,56.6
BILL02100,2016,2,6.6,5,40.8,80.2
BILL02500,2014,3,6.6,5,30.1,
BILL02030,2019,7,6.7,5,16.5,63.4
RGDE02200,2015,1,6.7,4,11.8,31
GADE02900,2016,9,6.8,3,6.5,2.7
RGDE02900,2015,9,6.8,3,3.4,12.5
BILL02030,2013,11,6.8,37,6.5,673.6
BILL02500,2015,9,6.8,3,11.3,39.2
BILL02100,2019,4,6.8,4.3,20.7,73.5
BILL02500,2018,5,6.9,7,3.2,23.3
BILL02900,2016,1,6.9,3,19.7,72.2
BIRP00500,2016,2,6.9,3,5.4,9.6
RGDE02200,2019,5,6.9,4,4.6,28.7
BILL02030,2018,5,6.9,14,6.5,47.2
RGDE02200,2017,12,6.9,6,13.1,56.1
BILL02100,2017,9,7,7,28.3,73.8
RGDE02030,2018,1,7,4,7.3,28.9
RGDE02900,2019,3,7,3,7.3,38
RGDE02900,2017,5,7,3,2,15.5
RGDE02200,2016,1,7.1,4,3.6,25.1
BILL02900,2014,5,7.1,4,10.3,35.3
RGDE02900,2016,1,7.1,6,2,14.5
RGDE02030,2019,1,7.2,3,5.2,14.4
RGDE02900,2015,2,7.2,3,1.5,14.4
BILL02500,2019,5,7.2,3,4.7,39.8
BILL02500,2015,2,7.3,3.5,6.8,27.3
RGDE02900,2017,4,7.3,3,1.5,10.1
BILL02500,2015,4,7.3,3,5.1,46.4
BITQ00100,2015,4,7.3,3,3.9,40.5
BILL02100,2014,11,7.3,8,42.1,160.4
RGDE02030,2016,6,7.3,3,3.7,0.6
BILL02900,2018,5,7.3,3,3.3,20.6
BILL02030,2016,3,7.4,25,40.2,272.7
PIRE02900,2015,9,7.4,16,51.3,
BILL02900,2013,7,7.4,4,5.9,52.7
RGDE02200,2019,3,7.4,4,26.8,
BILL02500,2013,3,7.4,6.5,17.1,172
BILL02900,2019,5,7.4,3,3.9,25.5
BIRP00500,2019,1,7.4,3,4.9,9.1
RGDE02900,2015,12,7.4,3,2.1,10
PIRE02900,2017,9,7.5,16,17,
BILL02500,2016,2,7.5,4,48.3,58.8
BIRP00500,2016,1,7.5,3,5.3,34.8
BILL02500,2017,5,7.5,3,9.4,32.7
BIRP00500,2016,4,7.5,3,4.1,7.4
BITQ00100,2017,3,7.5,4,21.1,41.7
BITQ00100,2016,1,7.5,3,18,97.6
RGDE02030,2018,7,7.5,4,5.3,31.5
BILL02100,2016,11,7.6,11,71.7,176.4
BIRP00500,2016,9,7.6,3,6,18.7
RGDE02900,2019,1,7.6,3,3.6,7.7
BILL02500,2013,7,7.7,5,5.2,80.9
BILL02100,2014,7,7.7,3,12.4,51.2
BIRP00500,2016,5,7.7,3,2.7,9.2
BIRP00500,2019,5,7.7,3,3.8,15.2
RGDE02900,2015,5,7.7,3,1.7,13.4
BILL02100,2019,7,7.7,5,13.7,77
BITQ00100,2019,5,7.7,3,7.2,36.4
BILL02900,2017,12,7.7,8,20.7,44.4
RGDE02900,2017,10,7.7,3,1.5,12.1
RGDE02900,2016,10,7.7,3,3.2,11.4
BIRP00500,2016,3,7.7,4,2.9,9.6
BILL02100,2017,12,7.8,7,32.8,161.6
BILL02100,2017,10,7.8,6.5,27.8,103.2
BILL02900,2015,10,7.8,3,10.9,29
